id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26488,Embarcadero High Rise with Views!,112300,Micheal,,Financial District,37.79146,-122.3932,Entire home/apt,1000,360,48,2012-06-21,0.28,1,365,0,
639252492437720512,Civic Center/Union Square Studio - Convenience!,4430421,Landmark,,Downtown/Civic Center,37.78399,-122.41157,Entire home/apt,76,30,0,,,140,270,0,
650715822075172454,Stylish Apartment in the Heart of Noe Valley,44855256,Brooke,,Noe Valley,37.75385,-122.43646,Entire home/apt,185,30,28,2024-08-24,1.06,1,150,6,2022-006097STR
662392806641687113,"Donatello Hotel, ;",52178915,Jim,,Downtown/Civic Center,37.78726,-122.40924,Entire home/apt,,2,9,2023-11-17,0.35,50,0,4,Exempt
667349567026153723,Private Bed/Bath/Entrance in modern SF house,36246070,Yannan,,Outer Sunset,37.74794,-122.48782,Private room,130,1,17,2024-09-01,0.66,1,62,5,1131238
674704341439362627,Modern 1 Bedroom Top Floor Design District,650493,Tracy,,South of Market,37.7713226,-122.4050655,Entire home/apt,175,30,3,2023-10-31,0.15,1,51,1,
690620733030257429,family and friendly 2bedroom Min from the Beach,474379391,Haneefa,,Parkside,37.74122,-122.49937,Entire home/apt,298,2,13,2023-10-08,0.54,1,291,3,2023-005297STR
696476269224778418,*Beautiful Union Square Hotel Style Unit*,70722023,Michael,,Downtown/Civic Center,37.7885,-122.41112,Entire home/apt,,1,0,,,74,0,0,Exempt
698711120316020603,Newly Renovated w/Full Kitchen & King Tempur-pedic,6040444,Eric,,Marina,37.80196,-122.42643,Entire home/apt,400,3,47,2024-08-04,2.05,1,79,24,2022-010176STR
706980815639224702,Cozy Room Perfect for Remote Workers,159355723,Outsite,,Pacific Heights,37.78939,-122.43681,Private room,150,30,0,,,10,364,0,
708197577414068763,Alluring Arresting Home w/ Peaceful Garden&Parking,33856710,Samson,,Outer Mission,37.7316996219482,-122.44807035066897,Entire home/apt,750,2,22,2024-07-31,0.94,3,157,10,2023-011078STR
711712014660053665,Entire private floor of home for your stay,129935088,Mangel,,West of Twin Peaks,37.73372186994071,-122.45777476635251,Entire home/apt,220,2,88,2024-08-18,4.31,1,333,44,2022-012052STR
718391151703288160,Private guest suite in San Francisco!,19074501,Phan Thao,,Excelsior,37.72797,-122.4282,Entire home/apt,100,3,30,2024-08-19,1.29,1,50,15,STR-0005962
726193058756426093,Studio Suite with Rooftop Lounge in San Francisco,476474223,Samantha,,Downtown/Civic Center,37.78691,-122.41117,Entire home/apt,174,2,1,2023-11-16,0.10,5,10,1,Exempt
739093190259164247,Lovely Garden View Room in 2 bedroom home.,483840645,Hester,,Excelsior,37.72652,-122.42726,Private room,54,30,3,2023-08-26,0.15,1,364,0,
741375352205456863,Castro gem! Top floor condo with amazing views,1781821,Katie And Chris,,Castro/Upper Market,37.76071,-122.44102,Entire home/apt,399,4,6,2023-08-14,0.34,1,86,0,STR-0005499
751452769136985751,Luxurious Condo in Jackson Square,23783347,David,,Financial District,37.79839,-122.3991,Entire home/apt,216,30,0,,,2,339,0,
791894218632251434,Hayes Penthouse,154354102,Alexis,,Western Addition,37.77498712707019,-122.43055123348125,Private room,,1,0,,,2,0,0,2022-012806STR
807528113297316410,"Large Bedroom, balcony views, prime location!",4187497,Sally,,Russian Hill,37.80244148276548,-122.41350014233427,Private room,189,4,0,,,2,14,0,1141184
808620432023640997,Chic King Suite at Wyndham Donatello in SF,442029804,Live Suite,,Downtown/Civic Center,37.78696880719826,-122.40926321322569,Entire home/apt,,1,2,2024-06-14,0.52,48,351,2,Exempt
808621768599355433,Chic King Suite at Wyndham Donatello in SF,480237365,LiveSuites,,Downtown/Civic Center,37.7878653,-122.4104163,Entire home/apt,,1,3,2023-09-29,0.25,15,350,3,Exempt
812493972622210710,Heart of San Francisco - 3 beds,8580116,Rachel & Mark,,Haight Ashbury,37.767784655195264,-122.44737339472046,Entire home/apt,,30,0,,,1,0,0,
